JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
ALISO VIEJO,Total,"Cadmium, Total",0.191874778,0.817583915,1.009458693
DANA POINT,Total,"Cadmium, Total",0.456093056,0.345232536,0.801325592
LAGUNA BEACH,Total,"Cadmium, Total",0.002595188,0.012814724,0.015409912
LAGUNA HILLS,Total,"Cadmium, Total",0.018951763,0.788011801,0.806963564
LAGUNA NIGUEL,Total,"Cadmium, Total",1.593923549,6.44949452,8.04341807
LAGUNA WOODS,Total,"Cadmium, Total",0.034853971,0,0.034853971
LAKE FOREST,Total,"Cadmium, Total",0.03367294,0.16086295,0.19453589
MISSION VIEJO,Total,"Cadmium, Total",3.895164463,4.675677219,8.570841682
UNINCORPORATED,Total,"Cadmium, Total",1.963040466,11.16666066,13.12970113
RANCHO SANTA MARGARITA,Total,"Cadmium, Total",0.252377826,1.24717785,1.499555676
SAN CLEMENTE,Total,"Cadmium, Total",0.979023605,49.21244293,50.19146654
SAN JUAN CAPISTRANO,Total,"Cadmium, Total",0.016286058,0.017458703,0.033744762
ALISO VIEJO,Total,"Chromium, Total",0.217271718,0.458807803,0.676079521
DANA POINT,Total,"Chromium, Total",0.177797371,0.255844006,0.433641378
LAGUNA BEACH,Total,"Chromium, Total",0.006015441,0.017171731,0.023187172
LAGUNA HILLS,Total,"Chromium, Total",0.017461175,0.750928893,0.768390067
LAGUNA NIGUEL,Total,"Chromium, Total",0.39274655,2.127115463,2.519862012
LAGUNA WOODS,Total,"Chromium, Total",0.032557185,0,0.032557185
LAKE FOREST,Total,"Chromium, Total",0.088358475,0.209581444,0.297939919
MISSION VIEJO,Total,"Chromium, Total",0.281456778,0.383837572,0.665294351
UNINCORPORATED,Total,"Chromium, Total",0.98693562,1.361879722,2.348815342
RANCHO SANTA MARGARITA,Total,"Chromium, Total",0.503603392,0.173596573,0.677199965
SAN CLEMENTE,Total,"Chromium, Total",0.179718688,0.459275701,0.638994389
SAN JUAN CAPISTRANO,Total,"Chromium, Total",0.079254238,0.076963784,0.156218022
ALISO VIEJO,Total,"Copper, Total",1.031357734,2.859431972,3.890789706
DANA POINT,Total,"Copper, Total",2.212640255,3.566414107,5.779054362
LAGUNA BEACH,Total,"Copper, Total",0.049633613,0.235470559,0.285104172
LAGUNA HILLS,Total,"Copper, Total",0.215070568,7.555642561,7.770713129
LAGUNA NIGUEL,Total,"Copper, Total",4.881184871,29.83105342,34.71223829
LAGUNA WOODS,Total,"Copper, Total",0.40476955,0,0.40476955
LAKE FOREST,Total,"Copper, Total",0.787323764,2.190800178,2.978123942
MISSION VIEJO,Total,"Copper, Total",3.031207165,6.700197252,9.731404417
UNINCORPORATED,Total,"Copper, Total",6.30328304,11.88794498,18.19122802
RANCHO SANTA MARGARITA,Total,"Copper, Total",5.119427672,2.727690743,7.847118414
SAN CLEMENTE,Total,"Copper, Total",1.024274472,3.374869367,4.399143838
SAN JUAN CAPISTRANO,Total,"Copper, Total",0.90245915,1.035519346,1.937978496
ALISO VIEJO,Total,Enterococcus,1.45577E+13,7.44012E+13,8.89589E+13
DANA POINT,Total,Enterococcus,5.81314E+12,1.42545E+13,2.00677E+13
LAGUNA BEACH,Total,Enterococcus,41899755569,2.03443E+11,2.45343E+11
LAGUNA HILLS,Total,Enterococcus,3.40957E+11,1.48441E+13,1.51851E+13
LAGUNA NIGUEL,Total,Enterococcus,1.30873E+13,1.64643E+14,1.77731E+14
LAGUNA WOODS,Total,Enterococcus,9.77863E+11,0,9.77863E+11
LAKE FOREST,Total,Enterococcus,3.30788E+12,9.4717E+12,1.27796E+13
MISSION VIEJO,Total,Enterococcus,1.54185E+13,4.12217E+13,5.66402E+13
UNINCORPORATED,Total,Enterococcus,2.9747E+13,7.27117E+13,1.02459E+14
RANCHO SANTA MARGARITA,Total,Enterococcus,3.97179E+13,2.7596E+13,6.73139E+13
SAN CLEMENTE,Total,Enterococcus,1.46981E+13,2.09611E+13,3.56592E+13
SAN JUAN CAPISTRANO,Total,Enterococcus,7.53891E+12,3.75829E+12,1.12972E+13
ALISO VIEJO,Total,Fecal coliforms,7.46876E+12,2.02165E+13,2.76853E+13
DANA POINT,Total,Fecal coliforms,2.80765E+12,7.76956E+12,1.05772E+13
LAGUNA BEACH,Total,Fecal coliforms,2.46492E+11,1.19159E+12,1.43809E+12
LAGUNA HILLS,Total,Fecal coliforms,3.47718E+11,1.51385E+13,1.54862E+13
LAGUNA NIGUEL,Total,Fecal coliforms,8.42927E+12,8.13382E+13,8.97675E+13
LAGUNA WOODS,Total,Fecal coliforms,1.35909E+12,0,1.35909E+12
LAKE FOREST,Total,Fecal coliforms,9.34575E+11,3.82204E+12,4.75661E+12
MISSION VIEJO,Total,Fecal coliforms,8.20227E+12,1.99768E+13,2.81791E+13
UNINCORPORATED,Total,Fecal coliforms,3.90915E+12,8.2138E+13,8.60471E+13
RANCHO SANTA MARGARITA,Total,Fecal coliforms,6.55104E+13,2.33833E+13,8.88937E+13
SAN CLEMENTE,Total,Fecal coliforms,1.09212E+13,2.17769E+13,3.26981E+13
SAN JUAN CAPISTRANO,Total,Fecal coliforms,8.96215E+12,3.24571E+12,1.22079E+13
ALISO VIEJO,Total,"Iron, Total",20.29148249,55.04873415,75.34021663
DANA POINT,Total,"Iron, Total",92.8160385,82.43596217,175.2520007
LAGUNA BEACH,Total,"Iron, Total",2.119650852,5.125889726,7.245540578
LAGUNA HILLS,Total,"Iron, Total",1.490588098,27.81218121,29.3027693
LAGUNA NIGUEL,Total,"Iron, Total",130.5817149,394.724949,525.3066638
LAGUNA WOODS,Total,"Iron, Total",6.71121281,0,6.71121281
LAKE FOREST,Total,"Iron, Total",30.70122815,34.56255386,65.26378201
MISSION VIEJO,Total,"Iron, Total",130.8929205,126.0558294,256.9487498
UNINCORPORATED,Total,"Iron, Total",449.505149,235.0285361,684.533685
RANCHO SANTA MARGARITA,Total,"Iron, Total",512.9933862,57.17423686,570.167623
SAN CLEMENTE,Total,"Iron, Total",83.67233547,63.69318676,147.3655222
SAN JUAN CAPISTRANO,Total,"Iron, Total",28.12538411,27.88154935,56.00693346
ALISO VIEJO,Total,"Lead, Total",0.029645856,0.113356881,0.143002738
DANA POINT,Total,"Lead, Total",0.031002009,0.071191376,0.102193385
LAGUNA BEACH,Total,"Lead, Total",0.002595188,0.012814724,0.015409912
LAGUNA HILLS,Total,"Lead, Total",0.004258823,0.185414541,0.189673365
LAGUNA NIGUEL,Total,"Lead, Total",0.074072413,0.681779235,0.755851647
LAGUNA WOODS,Total,"Lead, Total",0.00835931,0,0.00835931
LAKE FOREST,Total,"Lead, Total",0.077659384,0.106629156,0.184288539
MISSION VIEJO,Total,"Lead, Total",0.095993847,0.176284738,0.272278585
UNINCORPORATED,Total,"Lead, Total",0.251458827,0.314317714,0.565776542
RANCHO SANTA MARGARITA,Total,"Lead, Total",0.109699116,0.057209993,0.166909109
SAN CLEMENTE,Total,"Lead, Total",0.027720447,0.07825784,0.105978287
SAN JUAN CAPISTRANO,Total,"Lead, Total",0.016453462,0.02531512,0.041768582
ALISO VIEJO,Total,"Manganese, Total",14.86073822,62.11646345,76.97720167
DANA POINT,Total,"Manganese, Total",95.12510102,72.54674992,167.6718509
LAGUNA BEACH,Total,"Manganese, Total",1.78462796,8.3135524,10.09818036
LAGUNA HILLS,Total,"Manganese, Total",13.20235172,579.4204418,592.6227935
LAGUNA NIGUEL,Total,"Manganese, Total",231.3099853,919.9394535,1151.249439
LAGUNA WOODS,Total,"Manganese, Total",25.78275458,0,25.78275458
LAKE FOREST,Total,"Manganese, Total",23.62872114,111.3018412,134.9305624
MISSION VIEJO,Total,"Manganese, Total",323.1735556,404.2613018,727.4348574
UNINCORPORATED,Total,"Manganese, Total",245.1481148,953.4996248,1198.64774
RANCHO SANTA MARGARITA,Total,"Manganese, Total",772.0686097,69.18322737,841.2518371
SAN CLEMENTE,Total,"Manganese, Total",97.32111734,4074.372182,4171.6933
SAN JUAN CAPISTRANO,Total,"Manganese, Total",6.407179903,5.26379908,11.67097898
ALISO VIEJO,Total,MBAS,48.68057164,179.3302154,228.010787
DANA POINT,Total,MBAS,20.48721293,37.74707555,58.23428849
LAGUNA BEACH,Total,MBAS,0.648796897,3.203681079,3.852477976
LAGUNA HILLS,Total,MBAS,2.214588031,96.41556151,98.63014954
LAGUNA NIGUEL,Total,MBAS,39.88347953,274.3219263,314.2054058
LAGUNA WOODS,Total,MBAS,4.285769214,0,4.285769214
LAKE FOREST,Total,MBAS,5.639299951,23.59323269,29.23253264
MISSION VIEJO,Total,MBAS,26.53354261,58.30250435,84.83604697
UNINCORPORATED,Total,MBAS,165.0377079,174.1154707,339.1531786
RANCHO SANTA MARGARITA,Total,MBAS,104.730652,38.44511537,143.1757673
SAN CLEMENTE,Total,MBAS,20.09266767,43.35484358,63.44751125
SAN JUAN CAPISTRANO,Total,MBAS,14.5418795,9.442248764,23.98412826
ALISO VIEJO,Total,"Nickel, Total",1.4292216,4.79655158,6.22577318
DANA POINT,Total,"Nickel, Total",6.255227954,5.184844419,11.44007237
LAGUNA BEACH,Total,"Nickel, Total",0.057834123,0.281923935,0.339758058
LAGUNA HILLS,Total,"Nickel, Total",0.178870572,7.787410738,7.966281309
LAGUNA NIGUEL,Total,"Nickel, Total",14.40785919,69.38131522,83.78917441
LAGUNA WOODS,Total,"Nickel, Total",0.338760479,0,0.338760479
LAKE FOREST,Total,"Nickel, Total",0.63864347,1.820049379,2.458692848
MISSION VIEJO,Total,"Nickel, Total",14.40812827,27.66308458,42.07121285
UNINCORPORATED,Total,"Nickel, Total",34.11929152,91.81569677,125.9349883
RANCHO SANTA MARGARITA,Total,"Nickel, Total",3.843831506,4.787573107,8.631404614
SAN CLEMENTE,Total,"Nickel, Total",10.27283608,384.2411052,394.5139413
SAN JUAN CAPISTRANO,Total,"Nickel, Total",0.505240402,0.609963451,1.115203853
ALISO VIEJO,Total,Nitrate + Nitrite as N,1233.505406,3868.373151,5101.878557
DANA POINT,Total,Nitrate + Nitrite as N,590.6829925,961.9962813,1552.679274
LAGUNA BEACH,Total,Nitrate + Nitrite as N,6.617988396,33.31828322,39.93627162
LAGUNA HILLS,Total,Nitrate + Nitrite as N,63.88234704,2781.218121,2845.100468
LAGUNA NIGUEL,Total,Nitrate + Nitrite as N,1632.461628,14870.0248,16502.48643
LAGUNA WOODS,Total,Nitrate + Nitrite as N,138.4171834,0,138.4171834
LAKE FOREST,Total,Nitrate + Nitrite as N,876.8544497,2389.963831,3266.81828
MISSION VIEJO,Total,Nitrate + Nitrite as N,1272.475099,2999.288938,4271.764037
UNINCORPORATED,Total,Nitrate + Nitrite as N,4959.11078,9824.673699,14783.78448
RANCHO SANTA MARGARITA,Total,Nitrate + Nitrite as N,1851.728521,754.7632662,2606.491787
SAN CLEMENTE,Total,Nitrate + Nitrite as N,858.9712515,6055.2004,6914.171652
SAN JUAN CAPISTRANO,Total,Nitrate + Nitrite as N,439.8051741,348.7376007,788.5427748
ALISO VIEJO,Total,"Nitrogen, Total Kjeldahl",570.8426238,1514.640884,2085.483507
DANA POINT,Total,"Nitrogen, Total Kjeldahl",451.829183,930.5077882,1382.336971
LAGUNA BEACH,Total,"Nitrogen, Total Kjeldahl",16.9752238,83.61607616,100.5913
LAGUNA HILLS,Total,"Nitrogen, Total Kjeldahl",24.70117419,1075.40434,1100.105514
LAGUNA NIGUEL,Total,"Nitrogen, Total Kjeldahl",944.4693839,7231.770527,8176.239911
LAGUNA WOODS,Total,"Nitrogen, Total Kjeldahl",50.52193432,0,50.52193432
LAKE FOREST,Total,"Nitrogen, Total Kjeldahl",152.0188105,476.460738,628.4795485
MISSION VIEJO,Total,"Nitrogen, Total Kjeldahl",816.0504792,1827.423903,2643.474382
UNINCORPORATED,Total,"Nitrogen, Total Kjeldahl",11264.99913,6934.07329,18199.07242
RANCHO SANTA MARGARITA,Total,"Nitrogen, Total Kjeldahl",1846.795484,891.6586068,2738.454091
SAN CLEMENTE,Total,"Nitrogen, Total Kjeldahl",600.1195327,1936.88155,2537.001082
SAN JUAN CAPISTRANO,Total,"Nitrogen, Total Kjeldahl",214.7563088,274.9745788,489.7308876
ALISO VIEJO,Total,Phosphorus as P,186.2749614,494.2512357,680.5261972
DANA POINT,Total,Phosphorus as P,147.4389966,303.6393835,451.0783801
LAGUNA BEACH,Total,Phosphorus as P,5.539283556,27.2852459,32.82452946
LAGUNA HILLS,Total,Phosphorus as P,8.060383156,350.9214162,358.9817993
LAGUNA NIGUEL,Total,Phosphorus as P,308.1952727,2359.840909,2668.036181
LAGUNA WOODS,Total,Phosphorus as P,16.48610488,0,16.48610488
LAKE FOREST,Total,Phosphorus as P,49.60613816,155.4766619,205.0828
MISSION VIEJO,Total,Phosphorus as P,266.2901564,596.3172736,862.60743
UNINCORPORATED,Total,Phosphorus as P,3675.947083,2262.6976,5938.644683
RANCHO SANTA MARGARITA,Total,Phosphorus as P,602.6385263,290.9622822,893.6008085
SAN CLEMENTE,Total,Phosphorus as P,195.8284791,632.035032,827.8635111
SAN JUAN CAPISTRANO,Total,Phosphorus as P,70.07837445,89.72854676,159.8069212
ALISO VIEJO,Total,Phosphorus as PO4,212.9856264,657.4606359,870.4462624
DANA POINT,Total,Phosphorus as PO4,273.6740313,765.3072883,1038.98132
LAGUNA BEACH,Total,Phosphorus as PO4,10.51975968,51.89963348,62.41939316
LAGUNA HILLS,Total,Phosphorus as PO4,12.13764594,528.4314429,540.5690888
LAGUNA NIGUEL,Total,Phosphorus as PO4,624.4094343,5816.964414,6441.373848
LAGUNA WOODS,Total,Phosphorus as PO4,34.99452508,0,34.99452508
LAKE FOREST,Total,Phosphorus as PO4,237.3952694,623.5354353,860.9307047
MISSION VIEJO,Total,Phosphorus as PO4,693.7624943,1422.519896,2116.282391
UNINCORPORATED,Total,Phosphorus as PO4,2275.600528,3358.70929,5634.309818
RANCHO SANTA MARGARITA,Total,Phosphorus as PO4,1928.591472,687.7458457,2616.337318
SAN CLEMENTE,Total,Phosphorus as PO4,437.2520184,771.6223063,1208.874325
SAN JUAN CAPISTRANO,Total,Phosphorus as PO4,203.6746068,276.5022153,480.1768222
ALISO VIEJO,Total,"Silver, Total",0.022419269,0.066789652,0.089208921
DANA POINT,Total,"Silver, Total",0.028498161,0.054762597,0.083260758
LAGUNA BEACH,Total,"Silver, Total",0.002595188,0.012814724,0.015409912
LAGUNA HILLS,Total,"Silver, Total",0.004258823,0.185414541,0.189673365
LAGUNA NIGUEL,Total,"Silver, Total",0.070221938,0.582424472,0.65264641
LAGUNA WOODS,Total,"Silver, Total",0.007961015,0,0.007961015
LAKE FOREST,Total,"Silver, Total",0.017491799,0.061281124,0.078772923
MISSION VIEJO,Total,"Silver, Total",0.05868359,0.128540954,0.187224544
UNINCORPORATED,Total,"Silver, Total",0.251458827,0.314317714,0.565776542
RANCHO SANTA MARGARITA,Total,"Silver, Total",0.109699116,0.057209993,0.166909109
SAN CLEMENTE,Total,"Silver, Total",0.027720447,0.07825784,0.105978287
SAN JUAN CAPISTRANO,Total,"Silver, Total",0.016286058,0.017458703,0.033744762
ALISO VIEJO,Total,Total N,#REF!,#REF!,#REF!
DANA POINT,Total,Total N,273.7025294,765.3620509,1039.06458
LAGUNA BEACH,Total,Total N,10.52235487,51.9124482,62.43480307
LAGUNA HILLS,Total,Total N,12.14190476,528.6168574,540.7587622
LAGUNA NIGUEL,Total,Total N,624.4796562,5817.546838,6442.026494
LAGUNA WOODS,Total,Total N,35.0024861,0,35.0024861
LAKE FOREST,Total,Total N,237.4127612,623.5967164,861.0094776
MISSION VIEJO,Total,Total N,693.8211779,1422.648437,2116.469615
UNINCORPORATED,Total,Total N,2275.851987,3359.023608,5634.875595
RANCHO SANTA MARGARITA,Total,Total N,1928.701171,687.8030557,2616.504227
SAN CLEMENTE,Total,Total N,437.2797388,771.7005641,1208.980303
SAN JUAN CAPISTRANO,Total,Total N,203.6908929,276.519674,480.2105669
ALISO VIEJO,Total,TSS,519.233243,1775.997562,2295.230805
DANA POINT,Total,TSS,1258.519401,3532.187485,4790.706885
LAGUNA BEACH,Total,TSS,41.83133316,205.035589,246.8669222
LAGUNA HILLS,Total,TSS,93.69410899,2039.559955,2133.254064
LAGUNA NIGUEL,Total,TSS,2832.819847,23151.37276,25984.19261
LAGUNA WOODS,Total,TSS,204.6824919,0,204.6824919
LAKE FOREST,Total,TSS,1216.924479,2226.5475,3443.471979
MISSION VIEJO,Total,TSS,2650.318562,6962.635034,9612.953597
UNINCORPORATED,Total,TSS,33599.04173,8833.982076,42433.02381
RANCHO SANTA MARGARITA,Total,TSS,5362.395084,1261.220303,6623.615387
SAN CLEMENTE,Total,TSS,782.8447844,2848.58539,3631.430175
SAN JUAN CAPISTRANO,Total,TSS,506.9282179,1713.135273,2220.063491
ALISO VIEJO,Total,"Zinc, Total",5.625446249,16.06132105,21.6867673
DANA POINT,Total,"Zinc, Total",4.987842414,5.495817736,10.48366015
LAGUNA BEACH,Total,"Zinc, Total",0.129759379,0.640736216,0.770495595
LAGUNA HILLS,Total,"Zinc, Total",0.681411702,14.36962696,15.05103866
LAGUNA NIGUEL,Total,"Zinc, Total",9.796682116,67.66401954,77.46070165
LAGUNA WOODS,Total,"Zinc, Total",1.292847394,0,1.292847394
LAKE FOREST,Total,"Zinc, Total",3.310752445,4.902489909,8.213242354
MISSION VIEJO,Total,"Zinc, Total",9.695255043,15.8105374,25.50579244
UNINCORPORATED,Total,"Zinc, Total",24.09546881,39.28971429,63.3851831
RANCHO SANTA MARGARITA,Total,"Zinc, Total",19.80831632,5.966184995,25.77450131
SAN CLEMENTE,Total,"Zinc, Total",5.493307714,89.28508154,94.77838925
SAN JUAN CAPISTRANO,Total,"Zinc, Total",1.639136959,1.440343032,3.07947999
ALISO VIEJO,Dissolved,"Cadmium, Total",0.184496807,0.817583915,1.002080722
DANA POINT,Dissolved,"Cadmium, Total",0.357494871,0.345232536,0.702727407
LAGUNA BEACH,Dissolved,"Cadmium, Total",0.002595188,0.012814724,0.015409912
LAGUNA HILLS,Dissolved,"Cadmium, Total",0.017248234,0.788011801,0.805260035
LAGUNA NIGUEL,Dissolved,"Cadmium, Total",1.054613058,6.44949452,7.504107578
LAGUNA WOODS,Dissolved,"Cadmium, Total",0.032067859,0,0.032067859
LAKE FOREST,Dissolved,"Cadmium, Total",0.031796865,0.16086295,0.192659816
MISSION VIEJO,Dissolved,"Cadmium, Total",1.495706287,4.675677219,6.171383506
UNINCORPORATED,Dissolved,"Cadmium, Total",1.948879038,11.16666066,13.1155397
RANCHO SANTA MARGARITA,Dissolved,"Cadmium, Total",0.159262521,1.24717785,1.406440371
SAN CLEMENTE,Dissolved,"Cadmium, Total",0.956113015,49.21244293,50.16855595
SAN JUAN CAPISTRANO,Dissolved,"Cadmium, Total",0.016286058,0.017458703,0.033744762
ALISO VIEJO,Dissolved,"Chromium, Total",0.185945238,0.458807803,0.644753041
DANA POINT,Dissolved,"Chromium, Total",0.103231603,0.255844006,0.359075609
LAGUNA BEACH,Dissolved,"Chromium, Total",0.002595188,0.017171731,0.019766918
LAGUNA HILLS,Dissolved,"Chromium, Total",0.017035293,0.750928893,0.767964185
LAGUNA NIGUEL,Dissolved,"Chromium, Total",0.306882957,2.127115463,2.43399842
LAGUNA WOODS,Dissolved,"Chromium, Total",0.031678106,0,0.031678106
LAKE FOREST,Dissolved,"Chromium, Total",0.064846552,0.209581444,0.274427996
MISSION VIEJO,Dissolved,"Chromium, Total",0.213679008,0.383837572,0.597516581
UNINCORPORATED,Dissolved,"Chromium, Total",0.797795798,1.361879722,2.159675519
RANCHO SANTA MARGARITA,Dissolved,"Chromium, Total",0.179647099,0.173596573,0.353243672
SAN CLEMENTE,Dissolved,"Chromium, Total",0.094857122,0.459275701,0.554132823
SAN JUAN CAPISTRANO,Dissolved,"Chromium, Total",0.067979299,0.076963784,0.144943083
ALISO VIEJO,Dissolved,"Copper, Total",0.786928714,2.859431972,3.646360686
DANA POINT,Dissolved,"Copper, Total",1.437151911,3.566414107,5.003566018
LAGUNA BEACH,Dissolved,"Copper, Total",0.045261617,0.235470559,0.280732176
LAGUNA HILLS,Dissolved,"Copper, Total",0.132023517,7.555642561,7.687666078
LAGUNA NIGUEL,Dissolved,"Copper, Total",3.223635988,29.83105342,33.05468941
LAGUNA WOODS,Dissolved,"Copper, Total",0.254093538,0,0.254093538
LAKE FOREST,Dissolved,"Copper, Total",0.382225608,2.190800178,2.573025786
MISSION VIEJO,Dissolved,"Copper, Total",1.749420839,6.700197252,8.449618091
UNINCORPORATED,Dissolved,"Copper, Total",4.30107699,11.88794498,16.18902197
RANCHO SANTA MARGARITA,Dissolved,"Copper, Total",4.279858538,2.727690743,7.007549281
SAN CLEMENTE,Dissolved,"Copper, Total",0.827371365,3.374869367,4.202240732
SAN JUAN CAPISTRANO,Dissolved,"Copper, Total",0.716849815,1.035519346,1.752369161
ALISO VIEJO,Dissolved,"Iron, Total",5.853243115,55.04873415,60.90197726
DANA POINT,Dissolved,"Iron, Total",15.6283551,82.43596217,98.06431727
LAGUNA BEACH,Dissolved,"Iron, Total",0.511919883,5.125889726,5.637809609
LAGUNA HILLS,Dissolved,"Iron, Total",0.425882314,27.81218121,28.23806352
LAGUNA NIGUEL,Dissolved,"Iron, Total",27.39760734,394.724949,422.1225563
LAGUNA WOODS,Dissolved,"Iron, Total",1.634178917,0,1.634178917
LAKE FOREST,Dissolved,"Iron, Total",1.749179935,34.56255386,36.31173379
MISSION VIEJO,Dissolved,"Iron, Total",26.42128819,126.0558294,152.4771176
UNINCORPORATED,Dissolved,"Iron, Total",87.8451664,235.0285361,322.8737025
RANCHO SANTA MARGARITA,Dissolved,"Iron, Total",60.19240506,57.17423686,117.3666419
SAN CLEMENTE,Dissolved,"Iron, Total",11.60677415,63.69318676,75.29996091
SAN JUAN CAPISTRANO,Dissolved,"Iron, Total",5.813983854,27.88154935,33.69553321
ALISO VIEJO,Dissolved,"Lead, Total",0.030984679,0.113356881,0.144341561
DANA POINT,Dissolved,"Lead, Total",0.028498161,0.071191376,0.099689537
LAGUNA BEACH,Dissolved,"Lead, Total",0.002595188,0.012814724,0.015409912
LAGUNA HILLS,Dissolved,"Lead, Total",0.004258823,0.185414541,0.189673365
LAGUNA NIGUEL,Dissolved,"Lead, Total",0.070221938,0.681779235,0.752001173
LAGUNA WOODS,Dissolved,"Lead, Total",0.008342714,0,0.008342714
LAKE FOREST,Dissolved,"Lead, Total",0.017491799,0.106629156,0.124120955
MISSION VIEJO,Dissolved,"Lead, Total",0.05868359,0.176284738,0.234968327
UNINCORPORATED,Dissolved,"Lead, Total",0.251458827,0.314317714,0.565776542
RANCHO SANTA MARGARITA,Dissolved,"Lead, Total",0.109699116,0.057209993,0.166909109
SAN CLEMENTE,Dissolved,"Lead, Total",0.027720447,0.07825784,0.105978287
SAN JUAN CAPISTRANO,Dissolved,"Lead, Total",0.016286058,0.02531512,0.041601178
ALISO VIEJO,Dissolved,"Manganese, Total",13.1722288,62.11646345,75.28869224
DANA POINT,Dissolved,"Manganese, Total",83.9224981,72.54674992,156.469248
LAGUNA BEACH,Dissolved,"Manganese, Total",1.608681968,8.3135524,9.922234368
LAGUNA HILLS,Dissolved,"Manganese, Total",13.41529288,579.4204418,592.8357347
LAGUNA NIGUEL,Dissolved,"Manganese, Total",204.7039731,919.9394535,1124.643427
LAGUNA WOODS,Dissolved,"Manganese, Total",25.79080895,0,25.79080895
LAKE FOREST,Dissolved,"Manganese, Total",18.67857686,111.3018412,129.9804181
MISSION VIEJO,Dissolved,"Manganese, Total",258.2858032,404.2613018,662.5471051
UNINCORPORATED,Dissolved,"Manganese, Total",133.9352168,953.4996248,1087.434842
RANCHO SANTA MARGARITA,Dissolved,"Manganese, Total",163.4735252,69.18322737,232.6567526
SAN CLEMENTE,Dissolved,"Manganese, Total",80.75492582,4074.372182,4155.127108
SAN JUAN CAPISTRANO,Dissolved,"Manganese, Total",4.484384883,5.26379908,9.748183963
ALISO VIEJO,Dissolved,"Nickel, Total",1.465803684,4.79655158,6.262355264
DANA POINT,Dissolved,"Nickel, Total",6.053973751,5.184844419,11.23881817
LAGUNA BEACH,Dissolved,"Nickel, Total",0.057834123,0.281923935,0.339758058
LAGUNA HILLS,Dissolved,"Nickel, Total",0.178870572,7.787410738,7.966281309
LAGUNA NIGUEL,Dissolved,"Nickel, Total",14.21050324,69.38131522,83.59181846
LAGUNA WOODS,Dissolved,"Nickel, Total",0.337681765,0,0.337681765
LAKE FOREST,Dissolved,"Nickel, Total",0.581036208,1.820049379,2.401085586
MISSION VIEJO,Dissolved,"Nickel, Total",12.13241595,27.66308458,39.79550053
UNINCORPORATED,Dissolved,"Nickel, Total",32.43217277,91.81569677,124.2478695
RANCHO SANTA MARGARITA,Dissolved,"Nickel, Total",3.922936614,4.787573107,8.710509722
SAN CLEMENTE,Dissolved,"Nickel, Total",10.62790051,384.2411052,394.8690057
SAN JUAN CAPISTRANO,Dissolved,"Nickel, Total",0.476891144,0.609963451,1.086854595
ALISO VIEJO,Dissolved,"Silver, Total",0.022419269,0.066789652,0.089208921
DANA POINT,Dissolved,"Silver, Total",0.028498161,0.054762597,0.083260758
LAGUNA BEACH,Dissolved,"Silver, Total",0.002595188,0.012814724,0.015409912
LAGUNA HILLS,Dissolved,"Silver, Total",0.004258823,0.185414541,0.189673365
LAGUNA NIGUEL,Dissolved,"Silver, Total",0.070221938,0.582424472,0.65264641
LAGUNA WOODS,Dissolved,"Silver, Total",0.007961015,0,0.007961015
LAKE FOREST,Dissolved,"Silver, Total",0.017491799,0.061281124,0.078772923
MISSION VIEJO,Dissolved,"Silver, Total",0.05868359,0.128540954,0.187224544
UNINCORPORATED,Dissolved,"Silver, Total",0.251458827,0.314317714,0.565776542
RANCHO SANTA MARGARITA,Dissolved,"Silver, Total",0.109699116,0.057209993,0.166909109
SAN CLEMENTE,Dissolved,"Silver, Total",0.027720447,0.07825784,0.105978287
SAN JUAN CAPISTRANO,Dissolved,"Silver, Total",0.016286058,0.017458703,0.033744762
ALISO VIEJO,Dissolved,"Zinc, Total",6.463542984,16.06132105,22.52486404
DANA POINT,Dissolved,"Zinc, Total",4.071133404,5.495817736,9.56695114
LAGUNA BEACH,Dissolved,"Zinc, Total",0.129759379,0.640736216,0.770495595
LAGUNA HILLS,Dissolved,"Zinc, Total",0.63882347,14.36962696,15.00845043
LAGUNA NIGUEL,Dissolved,"Zinc, Total",9.71749766,67.66401954,77.3815172
LAGUNA WOODS,Dissolved,"Zinc, Total",1.199960767,0,1.199960767
LAKE FOREST,Dissolved,"Zinc, Total",1.343608528,4.902489909,6.246098437
MISSION VIEJO,Dissolved,"Zinc, Total",5.860145817,15.8105374,21.67068322
UNINCORPORATED,Dissolved,"Zinc, Total",26.33546669,39.28971429,65.62518098
RANCHO SANTA MARGARITA,Dissolved,"Zinc, Total",11.34674694,5.966184995,17.31293193
SAN CLEMENTE,Dissolved,"Zinc, Total",5.787374003,89.28508154,95.07245554
SAN JUAN CAPISTRANO,Dissolved,"Zinc, Total",1.493766864,1.440343032,2.934109896
